first_name,last_name,birth_date,player_id,season,season_type,league,team,games,starts,minutes,points,plus_minus,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,calculated_possessions,plays_used,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus
kadoshnikov,christmas,1993-08-10,785284,2016,Full Season,Spain - ACB,Lions,37,15,720.13,328,NA,51,85,59,149,49,57,1,23,64,41,0,24,30,0,0,6,70,59,0,0,0,0,0,0,0,0,0,1252.7751,1252.7751,NA,NA,3087.8845,19.9135,0.633,0.6368,0.2436,4.4586,12.4469,7.4536,9.7644,2.6607,1.4643,8.4782,6.3995
kadoshnikov,christmas,1993-08-10,785284,2020,Full Season,EuroLeague,Lions,25,3,370.47,130,NA,15,32,30,65,10,12,2,13,39,10,0,6,14,0,0,2,44,20,0,0,0,0,0,0,0,0,0,672.2918,672.2918,NA,NA,2105.0916,14.0446,0.6355,0.6701,0.1237,5.6833,15.6021,8.8723,2.6151,2.464,0.4633,5.5412,2.3995
kadoshnikov,christmas,1993-08-10,785284,2020,Full Season,Spain - ACB,Lions,28,7,507.15,154,NA,22,40,33,90,11,15,3,15,46,16,0,16,16,0,0,6,55,20,0,0,0,0,0,0,0,0,0,937.5032,937.5032,NA,NA,2384.6576,14.1302,0.5637,0.6923,0.1154,4.6092,11.7646,8.4145,3.5354,1.926,1.4719,10.4849,0.894
kadoshnikov,christmas,1993-08-10,785284,2021,Full Season,EuroLeague,Lions,23,21,485.57,201,NA,16,35,48,103,25,27,7,18,37,13,0,6,13,0,0,7,55,23,0,0,0,0,0,0,0,0,0,840.6968,840.6968,NA,NA,1740.0036,16.0709,0.6705,0.7464,0.1957,6.8349,9.8079,7.5704,3.3912,1.8656,2.1297,3.8491,5.7869
kadoshnikov,christmas,1993-08-10,785284,2021,Full Season,Spain - ACB,Lions,16,11,328.05,138,NA,21,33,26,66,18,20,1,15,32,10,0,13,11,0,0,4,35,18,0,0,0,0,0,0,0,0,0,596.4051,596.4051,NA,NA,1527.8007,17.6141,0.6401,0.6667,0.202,8.2106,11.2972,10.5861,2.9201,1.8089,1.2151,10.7616,4.4962
rashawn,de,1989-08-30,326317,2021,Full Season,EuroCup,Redbirds,14,3,284.28,130,NA,22,36,21,41,23,28,1,11,40,8,0,9,6,0,0,1,24,24,0,0,0,0,0,0,0,0,0,511.4485,511.4485,NA,NA,1005.6905,16.7567,0.7277,0.5325,0.3636,6.3421,22.2749,11.9027,4.51,1.2687,0.4578,9.1538,2.0439
rashawn,de,1989-08-30,326317,2021,Full Season,Spain - ACB,Redbirds,19,4,408.17,166,NA,34,51,23,59,29,38,5,17,57,13,0,20,16,0,0,4,37,34,0,0,0,0,0,0,0,0,0,731.0018,731.0018,NA,NA,1370.6056,17.53,0.655,0.5364,0.3455,5.5283,20.5497,12.1629,3.4997,2.4254,1.2251,13.6314,2.2624
damian,roll,1982-12-09,465208,2012,Full Season,EuroCup,Cardinal,6,5,156.36,58,NA,20,48,3,19,9,12,4,6,14,13,0,11,3,0,0,3,10,15,0,0,0,0,0,0,0,0,0,272.2655,272.2655,NA,NA,417.8987,25.882,0.4012,0.2836,0.1791,4.1306,11.4155,7.4165,16.9961,1.2577,1.9298,13.2085,-4.1635
damian,roll,1982-12-09,465208,2013,Full Season,EuroLeague,Blue Raiders,9,7,203.16,57,NA,12,40,8,21,9,11,3,3,21,6,0,16,3,0,0,1,23,16,0,0,0,0,0,0,0,0,0,358.9661,358.9661,NA,NA,715.5681,19.7775,0.4329,0.3443,0.1803,2.4915,14.4652,7.8559,7.1747,0.6371,0.9906,19.5503,-7.1838
damian,roll,1982-12-09,465208,2016,Full Season,Italy - Liga A,Grizzlies,37,33,893,321,NA,82,173,38,111,43,48,5,19,93,89,0,64,28,0,0,2,72,71,0,0,0,0,0,0,0,0,0,1629.4526,1629.4526,NA,NA,2946.8824,19.7898,0.526,0.3908,0.169,2.8827,12.3754,9.3118,18.2043,1.4395,0.1992,17.3385,-0.5004
damian,roll,1982-12-09,465208,2017,Full Season,Italy - Liga A,Hatters,23,1,425,136,NA,31,79,20,55,14,16,6,14,49,34,0,29,17,0,0,2,20,29,0,0,0,0,0,0,0,0,0,775.9696,775.9696,NA,NA,2200.1019,19.1887,0.4821,0.4104,0.1194,4.5045,16.2455,9.8205,14.0717,1.8665,0.3066,17.0548,-3.4386
kurucs,humphrey,1990-08-20,748794,2013,Full Season,NBA,Raptors,29,0,342.35,116,96,41,73,1,2,31,38,5,30,47,11,0,17,13,0,0,15,53,0,0,0,5,1,0,0,0,0,0,678.5,644.7166,678.5,112,7525.3031,14.7308,0.6324,0.0267,0.5067,11.5375,18.4324,14.6673,6.3495,2.0357,3.8387,15.6365,0.0371
kurucs,humphrey,1990-08-20,748794,2014,Full Season,NBA,NA,63,0,847.7,171,-140,62,126,4,15,35,53,10,72,144,28,0,30,23,0,0,26,122,0,0,0,5,0,0,0,0,0,0,1754.5,1662.7473,1754.5,196,7829.1455,10.1367,0.5195,0.0989,0.3701,11.0518,18.4784,14.5251,4.4947,1.5469,2.8704,15.6001,-1.7587
kurucs,humphrey,1990-08-20,748794,2015,Full Season,NBA,Knicks,68,21,1287.0667,398,-211,134,271,18,60,76,97,10,79,222,68,0,60,27,0,0,22,147,0,0,0,5,2,0,2,0,0,0,2629,2445.001,2629,443,7543.5866,15.5135,0.5325,0.1813,0.2931,6.574,20.8406,14.3429,10.4792,0.9514,1.1244,13.8351,-3.0652
kurucs,humphrey,1990-08-20,748794,2016,Full Season,NBA,Kings,59,29,875.9,307,-128,100,165,19,49,50,68,6,65,123,27,0,27,29,0,0,24,103,0,0,0,6,1,0,0,0,0,0,1904,1823.941,1904,279,8248.2366,13.134,0.6293,0.229,0.3178,9.6182,16.351,12.0208,2.991,1.6771,1.8829,9.966,-0.0467
kurucs,humphrey,1990-08-20,748794,2017,Full Season,NBA,NA,38,1,557.75,222,-34,33,80,37,90,45,60,7,20,95,18,25,21,14,48,9,15,67,0,0,6,0,0,0,0,0,0,0,1212,1167.5574,1212,220,8271.5907,16.8411,0.5669,0.5313,0.3557,3.6603,18.3391,10.561,3.7684,1.3334,2.4459,9.6581,-2.0683
kurucs,humphrey,1990-08-20,748794,2018,Full Season,NBA,Nets,70,8,1358.9833,411,-60,28,73,102,292,49,60,13,40,217,57,107,60,33,100,28,29,149,0,0,21,5,1,0,0,0,0,0,2973.5,2799.2844,2973.5,451,8179.6134,14.3792,0.525,0.8,0.1644,3.3418,17.8987,9.7072,7.1338,1.0741,1.3243,13.292,-2.5338
kurucs,humphrey,1990-08-20,748794,2019,Full Season,NBA,Suns,10,0,122.9167,17,4,2,3,2,15,7,10,0,3,22,8,12,4,1,4,2,4,24,0,0,4,1,0,0,0,0,0,0,288.5,257.421,288.5,27,8326.8264,9.2216,0.3795,0.8333,0.5556,1.7101,21.8502,11.1371,8.1426,0.3413,3.1202,15.1515,-8.008
kurucs,humphrey,1990-08-20,748794,2020,Full Season,EuroLeague,Buffaloes,27,19,525.67,130,NA,30,51,18,69,16,20,4,25,69,19,0,33,16,0,0,22,58,25,0,0,0,0,0,0,0,0,0,954.3156,954.3156,NA,NA,2114.9654,14.7653,0.5047,0.575,0.1667,7.5044,16.5009,10.5117,8.3984,2.2025,5.2794,20.3956,0.4483
adams,dejean-jones,1993-12-23,293626,2021,Full Season,EuroCup,Orange,14,8,299.2,147,NA,25,52,27,53,16,18,2,4,18,24,0,24,9,0,0,4,36,28,0,0,0,0,0,0,0,0,0,565.2321,565.2321,NA,NA,1057.9286,21.6217,0.6509,0.5048,0.1714,1.7777,7.9247,4.6651,11.3283,1.8149,1.1754,17.5285,1.9308
adams,dejean-jones,1993-12-23,293626,2021,Full Season,Italy - Liga A,Orange,18,8,339,124,NA,20,55,25,76,9,10,5,5,24,26,0,22,14,0,0,2,36,19,0,0,0,0,0,0,0,0,0,637.8547,637.8547,NA,NA,1354.7356,21.4383,0.4579,0.5802,0.0763,1.2248000000000001,7.2112,6.2888,11.5393,1.9222,1.2659,13.9771,-3.0819
youssou,mercer,1986-01-01,689448,2012,Full Season,EuroCup,Golden Bears,5,2,129.73,68,NA,25,47,0,1,18,25,4,9,33,5,0,4,1,0,0,3,6,21,0,0,0,0,0,0,0,0,0,221.9204,221.9204,NA,NA,829.6534,24.9308,0.5763,0.0208,0.5208,10.8635,37.5758,24.6081,11.4581,0.088,3.0767,6.3492,1.0706
youssou,mercer,1986-01-01,689448,2012,Full Season,Italy - Liga A,Golden Bears,9,5,256,120,NA,43,87,0,1,34,52,4,19,61,2,0,17,10,0,0,8,22,40,0,0,0,0,0,0,0,0,0,458.0929,458.0929,NA,NA,2308.3587,24.446,0.5411,0.0114,0.5909,10.435,30.0824,21.2397,0.9228,2.7225,3.405,13.2937,-5.6354
sakho,benjamin,1990-04-22,932866,2021,Full Season,EuroCup,Terrapins,10,10,210.62,92,NA,39,64,0,0,14,22,4,17,31,4,0,21,4,0,0,17,25,25,0,0,0,0,0,0,0,0,0,385.5134,385.5134,NA,NA,732.1533,22.0251,0.6243,0,0.3438,11.7764,17.3747,14.8624,6.578,0.9549,7.7175,22.18,-3.0116
pascolo,palsson,1984-02-07,597689,2011,Full Season,NBA,Timberwolves,4,0,29,15,-6,3,7,3,4,0,0,0,0,2,1,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,62,58.2804,62,15,7950.256,22.0452,0.6818,0.3636,0,0,9.5044,3.7891,6.5955,1.9462,0,26.6667,-0.4714
mcadoo,black,1984-07-07,502857,2012,Full Season,NBA,Jazz,7,0,37.9833,15,-6,3,7,3,10,0,0,0,0,2,3,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,78,72.3736,78,22,6526.0125,25.9515,0.4412,0.5882,0,0,7.4515,4.351,12.6406,0,0,22.7273,-11.9367
mcadoo,black,1984-07-07,502857,2014,Full Season,EuroCup,Quakers,10,2,241.68,150,NA,21,40,21,46,45,46,4,2,13,26,0,25,6,0,0,0,24,40,0,0,0,0,0,0,0,0,0,448.3536,448.3536,NA,NA,751.3299,26.6952,0.7059,0.5349,0.5349,0.7807,7.9658,4.3275,23.5465,1.2944,0,19.0491,3.3745
mcadoo,black,1984-07-07,502857,2014,Full Season,EuroLeague,Quakers,9,4,201.64,86,NA,14,36,13,36,19,21,3,2,13,14,0,15,0,0,0,1,23,25,0,0,0,0,0,0,0,0,0,362.9893,362.9893,NA,NA,720.0703,23.7183,0.5293,0.5,0.2917,2.703,8.6676,4.1477,13.6991,0,0.1333,15.586,-7.2465
zendon,rivero,1994-11-01,683421,2021,Full Season,EuroCup,Terrapins,8,7,209.47,76,NA,17,34,9,34,15,21,3,10,24,6,0,12,6,0,0,5,21,26,0,0,0,0,0,0,0,0,0,383.4085,383.4085,NA,NA,732.1533,20.8736,0.492,0.5,0.3088,7.8533,13.5703,11.144,3.5063,1.3452,2.2891,13.4469,-5.239
aldemir,kalaitzakis,1988-06-16,283203,2010,Full Season,NBA,Bobcats,6,0,29.5167,10,4,5,10,0,0,0,1,1,1,3,0,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,58.5,55.419,58.5,13,7825.6199,19.6402,0.4789,0,0.1,3.6815,12.1873,8.3891,0,2.0673,2.9136,16.0772,-5.5472
aldemir,kalaitzakis,1988-06-16,283203,2011,Full Season,NBA,NA,34,2,339.85,143,1,47,99,12,34,13,18,5,17,61,10,0,18,11,0,0,19,73,0,0,0,0,0,0,0,0,0,0,709.5,653.5093,709.5,161,8022.9831,21.1898,0.5088,0.2566,0.1364,5.5183,22.5235,13.6702,4.8929,1.5014,4.1788,11.2678,-3.5931
aldemir,kalaitzakis,1988-06-16,283203,2014,Full Season,NBA,Pelicans,56,30,950.5833,328,-100,136,248,0,1,56,67,15,94,183,40,0,63,23,0,0,46,187,0,0,0,0,0,0,0,0,0,0,1916,1825.3863,1916,349,7625.4324,16.3182,0.5889,0.004,0.2691,12.105,24.7652,17.1018,9.172,1.4333,4.1843,18.4491,-2.6428
aldemir,kalaitzakis,1988-06-16,283203,2015,Full Season,NBA,Pelicans,71,8,967,451,-20,185,333,0,0,81,99,18,104,212,48,0,69,22,0,0,51,153,0,0,0,1,0,0,0,0,0,0,1920.5,1840.9658,1920.5,451,7906.4437,21.031,0.5988,0,0.2973,11.5804,25.4306,19.6478,10.3893,1.2092,3.9963,15.4861,1.9133
aldemir,kalaitzakis,1988-06-16,283203,2016,Full Season,NBA,Pelicans,59,17,860.7,352,-64,150,314,0,1,52,62,12,75,194,31,0,54,19,0,0,36,134,0,0,0,5,0,0,0,0,0,0,1822.5,1735.4548,1822.5,401,7976.5993,20.3643,0.5142,0.0032,0.1968,8.7873,26.3696,17.8785,6.5036,0.9135,3.5634,13.6267,-3.9943
aldemir,kalaitzakis,1988-06-16,283203,2017,Full Season,NBA,Pelicans,39,15,584.35,207,-64,89,174,0,4,29,40,13,46,131,12,66,31,20,46,19,22,77,0,0,1,1,0,0,0,0,0,0,1264,1193.3156,1264,233,8129.6989,17.1796,0.5291,0.0225,0.2247,9.5327,25.0435,16.645,2.699,1.7993,3.021,13.6805,-3.331
aldemir,kalaitzakis,1988-06-16,283203,2014,Full Season,EuroLeague,Pirates,9,9,227.95,154,NA,63,113,0,1,28,37,4,15,34,17,0,20,7,0,0,8,32,38,0,0,0,0,0,0,0,0,0,395.1443,395.1443,NA,NA,693.3877,32.6969,0.591,0.0088,0.3246,9.576,21.0918,13.6246,19.3989,2.2244,3.6933,13.3085,1.4654
aldemir,kalaitzakis,1988-06-16,283203,2019,Full Season,EuroCup,Falcons,2,2,39.7,20,NA,5,11,3,6,1,2,0,1,6,1,0,2,1,0,0,6,8,6,0,0,0,0,0,0,0,0,0,69.4258,69.4258,NA,NA,1337.8054,24.2474,0.5593,0.3529,0.1176,3.8597,20.7185,11.239,7.9054,1.6587,15.0376,10.0604,4.6618
fedor,sy,1994-12-13,983280,2021,Full Season,EuroCup,Highlanders,7,2,73.24,20,NA,5,7,3,14,1,2,1,7,5,1,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,135.099,135.099,NA,NA,664.0511,14.8594,0.457,0.6667,0.0952,14.4238,10.7586,12.6335,4.1809,0.9175,0,0,-5.5479
gabas,mihm,1995-11-02,769542,2021,Full Season,Italy - Liga A,Rockets,19,19,544,180,NA,56,99,16,45,20,25,2,39,77,22,0,23,14,0,0,5,50,28,0,0,0,0,0,0,0,0,0,1007.1475,1007.1475,NA,NA,1407.0443,15.4592,0.5806,0.3125,0.1736,9.5521,19.2191,13.3435,6.4453,1.1348,0.716,12.9213,-0.9519
laquintana,wooten,1986-02-24,377323,2013,Full Season,NBA,Mavericks,3,0,8.7,5,-5,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,17.0468,18,4,7829.7857,20.9483,0.625,0.5,0,0,14.6199,6.375,22.5545,0,0,0,-2.9983
laquintana,wooten,1986-02-24,377323,2016,Full Season,Italy - Liga A,Seminoles,14,13,335,209,NA,31,52,38,100,33,34,4,5,14,24,0,32,11,0,0,0,38,37,0,0,0,0,0,0,0,0,0,613.8248,613.8248,NA,NA,2464.4607,29.0147,0.6259,0.6579,0.2237,2.7726,4.872,2.7386,15.2296,1.7036,0,16.0836,-1.4072
laquintana,wooten,1986-02-24,377323,2017,Full Season,EuroCup,Mavericks,5,1,62.51,27,NA,5,13,5,13,2,2,2,0,8,4,0,6,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,115.8567,115.8567,NA,NA,1056.4475,24.0671,0.5022,0.5,0.0769,0,15.7654,8.8856,10.177,1.3996,0,18.2482,-5.9057
laquintana,wooten,1986-02-24,377323,2017,Full Season,EuroLeague,Gators,5,1,57.62,19,NA,5,7,3,14,0,0,0,1,2,6,0,3,2,0,0,0,11,2,0,0,0,0,0,0,0,0,0,105.4018,105.4018,NA,NA,2414.6228,19.6111,0.4524,0.6667,0,2.1301,3.273,2.5699,15.7142,1.8534,0,12.5,-4.6586
laquintana,wooten,1986-02-24,377323,2017,Full Season,Spain - ACB,Gators,5,0,89.6,63,NA,9,13,12,32,9,13,2,2,5,5,0,6,3,0,0,0,10,8,0,0,0,0,0,0,0,0,0,168.1207,168.1207,NA,NA,2945.8759,29.1786,0.6211,0.7111,0.2889,4.3478,6.0675,4.4792,13.1009,1.8423,0,10.5783,2.472
laquintana,wooten,1986-02-24,377323,2018,Full Season,Spain - ACB,Midshipmen,12,6,169.31,103,NA,11,31,23,64,12,14,6,1,2,15,0,7,4,0,0,0,36,11,0,0,0,0,0,0,0,0,0,293.5554,293.5554,NA,NA,2510.9833,31.6608,0.5091,0.6737,0.1474,1.4307,1.9854,0.7974,20.0639,1.4258,0,6.4719,-4.364
laquintana,wooten,1986-02-24,377323,2019,Full Season,Spain - ACB,Dolphins,4,0,62.48,35,NA,5,8,6,18,7,8,0,0,4,5,0,4,2,0,0,0,9,4,0,0,0,0,0,0,0,0,0,114.1219,114.1219,NA,NA,2529.7114,25.5344,0.5928,0.6923,0.3077,0,10.2498,4.7851,13.8775,2.2414,0,11.9332,-3.2376
nedovic,maxey,1997-02-03,713996,2021,Full Season,EuroCup,Fightin Blue Hens,8,1,88.38,35,NA,7,12,4,12,9,11,1,6,11,15,0,11,5,0,0,0,18,9,0,0,0,0,0,0,0,0,0,160.3611,160.3611,NA,NA,734.8342,22.1126,0.6068,0.5,0.4583,9.1942,15.7235,13.6363,28.9412,2.8003,0,27.6104,2.2632
demarre,caloiaro,1995-06-13,502312,2021,Full Season,EuroCup,Fightin Blue Hens,9,2,183.38,97,NA,21,39,16,39,7,7,1,3,7,19,0,12,6,0,0,0,12,14,0,0,0,0,0,0,0,0,0,332.7339,332.7339,NA,NA,734.8342,24.8988,0.5982,0.5,0.0897,1.3282,5.7992,4.2354,18.2045,1.519,0,12.8921,-1.0399
zivanovic,pangos,2000-01-16,654825,2021,Full Season,EuroLeague,Buffaloes,1,0,0.47,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8339,0.8339,NA,NA,1657.2596,0,NA,NA,NA,0,0,0,0,0,0,NA,NA
vuk,niang,1990-03-02,549434,2021,Full Season,EuroCup,Knights,12,8,277.93,82,NA,8,20,19,50,9,11,2,1,23,65,0,28,7,0,0,0,24,39,0,0,0,0,0,0,0,0,0,499.7964,499.7964,NA,NA,1007.0305,17.4661,0.5478,0.7143,0.1571,1.8508,9.0937,6.8573,37.1086,1.6769,0,27.2268,-3.4304
vuk,niang,1990-03-02,549434,2021,Full Season,Spain - ACB,Knights,21,13,511.48,168,NA,24,56,27,80,39,49,3,7,23,81,0,54,24,0,0,0,38,97,0,0,0,0,0,0,0,0,0,909.8487,909.8487,NA,NA,1520.1703,20.1722,0.5331,0.5882,0.3603,1.2423,7.3907,5.2454,26.6821,2.3213,0,25.5247,-4.186
vashil,emchenko,1991-09-17,849876,2015,Full Season,NBA,76ers,41,9,540.4833,93,-102,40,73,0,5,13,27,10,78,98,28,0,17,17,0,0,16,96,0,0,0,0,0,0,0,0,0,0,1145,1078.054,1145,109,7900.6545,8.6176,0.5174,0.0641,0.3462,14.1145,21.7711,16.6142,7.3651,1.4014,2.8394,15.9057,-1.5321
vashil,emchenko,1991-09-17,849876,2012,Full Season,EuroLeague,Gamecocks,15,7,252.43,99,NA,34,61,0,0,31,39,4,28,44,7,0,17,10,0,0,6,34,34,0,0,0,0,0,0,0,0,0,430.9558,430.9558,NA,NA,1109.7057,19.1362,0.6333,0,0.6393,14.7016,25.4814,19.4688,4.7841,2.4968,2.4646,17.8646,2.2054
vashil,emchenko,1991-09-17,849876,2013,Full Season,EuroCup,Gamecocks,12,5,158.38,46,NA,20,32,0,0,6,12,3,22,29,2,0,6,9,0,0,6,24,10,0,0,0,0,0,0,0,0,0,270.6861,270.6861,NA,NA,828.9201,13.8018,0.617,0,0.375,19.1217,24.5389,21.6484,5.0455,3.24,4.4576,13.8632,5.5386
vashil,emchenko,1991-09-17,849876,2014,Full Season,EuroLeague,Gamecocks,22,13,383.78,119,NA,51,78,0,0,17,33,6,53,87,17,0,18,10,0,0,21,46,27,0,0,0,0,0,0,0,0,0,624.9176,624.9176,NA,NA,1766.7104,15.0122,0.6431,0,0.4231,16.4844,28.902,24.5904,8.7258,1.8282,5.9979,16.2866,5.6302
